folio,ronda,en_encuesta,en_evaluaciones,en_cuestionario_nino,sexo,edad_anios,edad_meses_eval,region,comuna,area,fexp_transversal_enc,fexp_transversal_eval
100791,2024,1,1,1.0,2.0,17.0,,15.0,15101.0,,87.47720887752973,87.47720887752973
100801,2010,1,1,,1.0,3.0,42.0,15.0,,1.0,48.125,55.0
100801,2012,1,1,,1.0,5.0,72.0,15.0,,1.0,55.88779830932617,64.16666412353516
100801,2017,1,1,1.0,1.0,11.0,137.0,15.0,15101.0,,77.0,79.0
100801,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,75.73947639567879,75.73947639567879
100811,2010,1,0,,1.0,3.0,,15.0,,1.0,48.125,
100811,2012,1,0,,1.0,5.0,,15.0,,1.0,55.88779830932617,
100811,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,82.24334647889334,82.24334647889334
100821,2010,1,1,,2.0,3.0,43.0,15.0,,1.0,48.125,55.0
100821,2012,1,1,,2.0,5.0,69.0,15.0,,1.0,55.88779830932617,64.16666412353516
100821,2017,1,1,1.0,2.0,11.0,138.0,15.0,15101.0,,77.0,79.0
100821,2024,1,1,1.0,2.0,17.0,,15.0,15101.0,,76.7831149158616,76.7831149158616
100861,2010,1,1,,2.0,3.0,42.0,15.0,,1.0,48.125,55.0
100861,2012,1,1,,2.0,5.0,68.0,15.0,,1.0,62.3760871887207,64.16666412353516
100861,2017,1,1,1.0,2.0,11.0,136.0,15.0,15101.0,,77.0,79.0
100881,2010,1,1,,1.0,3.0,43.0,15.0,,1.0,48.125,55.0
100881,2012,1,1,,1.0,5.0,68.0,15.0,,1.0,62.3760871887207,64.16666412353516
100881,2017,1,1,1.0,1.0,11.0,134.0,15.0,15101.0,,77.0,79.0
100881,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,73.24376919657445,73.24376919657445
100891,2010,1,1,,1.0,3.0,43.0,15.0,,1.0,48.125,55.0
100891,2012,1,1,,1.0,5.0,68.0,15.0,,1.0,54.02661895751953,64.16666412353516
100891,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,79.17268374715349,79.17268374715349
100931,2010,1,1,,1.0,3.0,41.0,15.0,,1.0,48.125,55.0
100931,2012,1,1,,1.0,5.0,68.0,15.0,,1.0,62.3760871887207,64.16666412353516
100931,2017,1,1,1.0,1.0,11.0,133.0,15.0,15101.0,,77.0,79.0
100931,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,75.73947639567879,75.73947639567879
100941,2010,1,0,,2.0,3.0,,15.0,,1.0,48.125,
100941,2012,1,1,,2.0,5.0,68.0,15.0,,1.0,54.02661895751953,64.16666412353516
100941,2017,1,1,1.0,2.0,11.0,138.0,15.0,15101.0,,77.0,79.0
100941,2024,1,1,1.0,2.0,17.0,,15.0,15101.0,,81.1353867725303,81.1353867725303
101001,2010,1,1,,1.0,3.0,40.0,15.0,,2.0,48.125,55.0
101041,2010,1,1,,1.0,3.0,41.0,15.0,,1.0,48.125,55.0
101041,2012,1,1,,1.0,5.0,67.0,15.0,,1.0,54.02661895751953,64.16666412353516
101041,2017,1,1,1.0,1.0,10.0,132.0,15.0,15101.0,,77.0,79.0
101041,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,73.24376919657445,73.24376919657445
101051,2010,1,1,,1.0,3.0,40.0,15.0,,1.0,48.125,55.0
101051,2012,1,1,,1.0,5.0,67.0,15.0,,1.0,62.3760871887207,64.16666412353516
101051,2024,1,1,1.0,1.0,17.0,,4.0,4203.0,,96.55294154930465,96.55294154930465
101061,2010,1,1,,1.0,3.0,40.0,15.0,,1.0,48.125,55.0
101061,2012,1,1,,1.0,5.0,67.0,15.0,,1.0,53.35859298706055,64.16666412353516
101061,2017,1,1,1.0,1.0,10.0,131.0,15.0,15101.0,,77.0,79.0
101061,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,73.43291355623691,73.43291355623691
101081,2010,1,1,,2.0,3.0,39.0,15.0,,1.0,52.96609878540039,57.8703727722168
101081,2012,1,1,,2.0,5.0,65.0,15.0,,1.0,68.63143920898438,78.125
