folio,en_2010,en_eval_2010,en_2012,en_eval_2012,en_2017,en_eval_2017,en_2024,en_eval_2024,n_rondas,patron_participacion,muestra_origen,sexo,sexo_consistente,muestra_2012,fexp_encP_2012,fexp_testP_2012,espanel_2017,fexp_hogP_2017,fexp_encP_2017,fexp_evaP_2017,fexp_encP_1217_2017,fexp_evaP_1217_2017,fexp_encP_1017_2017,fexp_evaP_1017_2017,f_exp_1024,f_exp_101224,f_exp_101724,f_exp_10121724
101301,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,65.68546295166016,77.97526550292969,1.0,40.21444320678711,80.42888641357422,86.54216003417969,80.42888641357422,82.17312622070312,69.9420166015625,76.80724334716797,82.42759854051474,93.36908806118775,89.37153458563508,104.08549921726117
101321,1,1,1,1,1,1,0,0,3,1110,original_2010,2.0,1,1.0,67.94828033447266,77.97526550292969,1.0,80.92804718017578,80.92804718017578,93.05647277832031,80.92804718017578,88.35856628417969,70.67255401611328,79.9533920288086,,,,
101331,1,1,1,0,0,0,0,0,2,1100,original_2010,2.0,1,1.0,67.94828033447266,,,,,,,,,,,,,
101341,1,1,1,1,1,1,0,0,3,1110,original_2010,2.0,1,1.0,65.68546295166016,77.97526550292969,1.0,80.42888641357422,80.42888641357422,93.05647277832031,80.42888641357422,88.35856628417969,69.9420166015625,76.80724334716797,,,,
101351,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,68.63143920898438,84.59453582763672,1.0,46.442298889160156,92.88459777832031,103.5206527709961,92.88459777832031,98.29447174072266,76.25936126708984,85.46273040771484,79.04891250127217,93.36908806118775,87.12277923792769,107.33601918319732
101361,1,1,0,0,0,0,0,0,1,1000,original_2010,1.0,1,,,,,,,,,,,,,,,
101381,1,1,1,1,0,0,0,0,2,1100,original_2010,2.0,1,1.0,66.11632537841797,74.81822967529297,,,,,,,,,,,,
101411,1,1,1,0,0,0,1,1,3,1101,original_2010,2.0,1,1.0,65.68546295166016,,,,,,,,,,68.18586199660317,,78.44757418160103,
101421,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,75.83673095703125,90.42633819580078,1.0,47.825138092041016,95.65027618408203,114.52857971191406,95.65027618408203,108.74666595458984,79.5831527709961,85.46273040771484,66.87718930957897,88.14571477987687,80.53929512329903,101.84324568778689
101451,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,66.11632537841797,74.81822967529297,1.0,80.42888641357422,80.42888641357422,93.05647277832031,80.42888641357422,88.35856628417969,70.67255401611328,76.80724334716797,86.61765752275896,99.22852803649629,91.06712885669197,108.33954493969398
101461,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,68.63143920898438,82.4063491821289,1.0,43.661399841308594,87.32279968261719,97.76055908203125,87.32279968261719,92.8251724243164,73.76172637939453,81.23274993896484,73.90979675156842,90.68990469555091,81.75609849040603,96.02251736896956
